Compound,X,Xprime,GroupCat,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,r_VIIofB,CrystalRadiusofA,CrystalRadiusofAprime,CrystalRadiusofBprime,CrystalRadiusofB,IonicRadiiofB,IonicRadiiofBprime,IonicRadiiofA,IonicRadiiofAprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,ZungerRadiiofB,ZungerRadiiofBprime,ZungerRadiiofA,ZungerRadiiofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,rA,rB,ToleranceBVP,Vc
La2MnTiO6,O,O,5,54.938049,47.867,138.9055,138.9055,1.6,1.32,1.08,1.08,1.475,1.475,0.755,0.986,1.044,1.172,1.172,0.745,0.81,0.83,0.61,1.03,1.03,7.43402,6.8281,5.5769,5.5769,1.55,1.54,1.1,1.1,0.99,1.15,1.375,1.375,3464,3464,2061,3287,12.1,12.1,21.7,8.6,6.15,6.15,7.3,4.51,44.6,44.6,235,295.6,918,918,1246,1670,0.195,0.195,0.479,0.522,0.134,0.134,0.0782,0.219,1.475,0.8705,0.912560301603403,35.8544630331053
La2MnVO6,O,O,5,54.938049,50.9415,138.9055,138.9055,1.6,1.45,1.08,1.08,1.475,1.475,0.724,0.986,1.044,1.172,1.172,0.72,0.81,0.83,0.58,1.03,1.03,7.43402,6.7462,5.5769,5.5769,1.55,1.63,1.1,1.1,0.99,1.09,1.375,1.375,3464,3464,2061,3407,12.1,12.1,21.7,8.4,6.15,6.15,7.3,6,44.6,44.6,235,422,918,918,1246,1910,0.195,0.195,0.479,0.489,0.134,0.134,0.0782,0.307,1.475,0.855,0.919410027838199,36.1007569855837
La2NaIrO6,O,O,5,22.98977,192.217,138.9055,138.9055,1.01,1.55,1.08,1.08,1.475,1.475,0.773,1.256,1.313,1.172,1.172,0.71,1.16,1.02,0.57,1.03,1.03,5.13908,8.967,5.5769,5.5769,0.93,2.2,1.1,1.1,1.1,1.16,1.375,1.375,3464,3464,882.94,4428,12.1,12.1,71,6.4,6.15,6.15,0.97,22.5,44.6,44.6,113.1,213.9,918,918,97.79,2446,0.195,0.195,1.225,0.131,0.134,0.134,1.41,1.47,1.475,1.0145,0.853486944250789,20.9099145406658
La2NaOsO6,O,O,5,22.98977,190.23,138.9055,138.9055,1.01,1.52,1.08,1.08,1.475,1.475,-300,1.256,1.313,1.172,1.172,0.715,1.16,1.02,0.58,1.03,1.03,5.13908,8.4382,5.5769,5.5769,0.93,2.2,1.1,1.1,1.1,1.17,1.375,1.375,3464,3464,882.94,5012,12.1,12.1,71,5.1,6.15,6.15,0.97,22.59,44.6,44.6,113.1,304.1,918,918,97.79,3033,0.195,0.195,1.225,0.13,0.134,0.134,1.41,0.876,1.475,-149.372,-300,-0.344110219773597
La2NaRuO6,O,O,5,22.98977,101.07,138.9055,138.9055,1.01,1.42,1.08,1.08,1.475,1.475,0.757,1.256,1.313,1.172,1.172,0.705,1.16,1.02,0.57,1.03,1.03,5.13908,7.3605,5.5769,5.5769,0.93,2.2,1.1,1.1,1.1,1.145,1.375,1.375,3464,3464,882.94,4150,12.1,12.1,71,6.4,6.15,6.15,0.97,12.1,44.6,44.6,113.1,381.8,918,918,97.79,2333,0.195,0.195,1.225,0.238,0.134,0.134,1.41,1.17,1.475,1.0065,0.856567429499608,20.9788442273564
La2NiCoO6,O,O,5,58.6934,58.9332,138.9055,138.9055,1.75,1.7,1.08,1.08,1.475,1.475,0.683,0.786,0.844,1.172,1.172,0.75,0.7,0.56,0.55,1.03,1.03,7.6398,7.881,5.5769,5.5769,1.91,1.88,1.1,1.1,0.96,0.92,1.375,1.375,3464,3464,2913,2927,12.1,12.1,13.4,13,6.15,6.15,8.9,8.86,44.6,44.6,290.3,272.5,918,918,1455,1495,0.195,0.195,0.445,0.421,0.134,0.134,0.907,1,1.475,0.7345,0.976385552834086,43.1960541379008
La2NiIrO6,O,O,5,58.6934,192.217,138.9055,138.9055,1.75,1.55,1.08,1.08,1.475,1.475,0.81,0.85,0.908,1.172,1.172,0.765,0.83,0.69,0.63,1.03,1.03,7.6398,8.967,5.5769,5.5769,1.91,2.2,1.1,1.1,0.96,1.16,1.375,1.375,3464,3464,2913,4428,12.1,12.1,13.4,6.4,6.15,6.15,8.9,22.5,44.6,44.6,290.3,213.9,918,918,1455,2446,0.195,0.195,0.445,0.131,0.134,0.134,0.907,1.47,1.475,0.83,0.930677307591118,36.6662522479287
La2NiMnO6,O,O,5,58.6934,54.938049,138.9055,138.9055,1.75,1.6,1.08,1.08,1.475,1.475,0.693,0.85,0.908,1.172,1.172,0.67,0.83,0.69,0.53,1.03,1.03,7.6398,7.43402,5.5769,5.5769,1.91,1.55,1.1,1.1,0.96,0.99,1.375,1.375,3464,3464,2913,2061,12.1,12.1,13.4,21.7,6.15,6.15,8.9,7.3,44.6,44.6,290.3,235,918,918,1455,1246,0.195,0.195,0.445,0.479,0.134,0.134,0.907,0.0782,1.475,0.7715,0.958153776172536,37.6578614772409
La2NiPtO6,O,O,5,58.6934,195.078,138.9055,138.9055,1.75,1.44,1.08,1.08,1.475,1.475,0.819,0.85,0.908,1.172,1.172,0.765,0.83,0.69,0.63,1.03,1.03,7.6398,8.9587,5.5769,5.5769,1.91,2.2,1.1,1.1,0.96,1.24,1.375,1.375,3464,3464,2913,3825,12.1,12.1,13.4,8.8,6.15,6.15,8.9,21.5,44.6,44.6,290.3,113.6,918,918,1455,1768.2,0.195,0.195,0.445,0.133,0.134,0.134,0.907,0.716,1.475,0.8345,0.928628861572942,36.5921332936003
La2NiRuO6,O,O,5,58.6934,101.07,138.9055,138.9055,1.75,1.42,1.08,1.08,1.475,1.475,0.774,0.85,0.908,1.172,1.172,0.76,0.83,0.69,0.62,1.03,1.03,7.6398,7.3605,5.5769,5.5769,1.91,2.2,1.1,1.1,0.96,1.145,1.375,1.375,3464,3464,2913,4150,12.1,12.1,13.4,6.4,6.15,6.15,8.9,12.1,44.6,44.6,290.3,381.8,918,918,1455,2333,0.195,0.195,0.445,0.238,0.134,0.134,0.907,1.17,1.475,0.812,0.938962268786291,36.9657552149193
La2NiTiO6,O,O,5,58.6934,47.867,138.9055,138.9055,1.75,1.32,1.08,1.08,1.475,1.475,0.755,0.85,0.908,1.172,1.172,0.745,0.83,0.69,0.61,1.03,1.03,7.6398,6.8281,5.5769,5.5769,1.91,1.54,1.1,1.1,0.96,1.15,1.375,1.375,3464,3464,2913,3287,12.1,12.1,13.4,8.6,6.15,6.15,8.9,4.51,44.6,44.6,290.3,295.6,918,918,1455,1670,0.195,0.195,0.445,0.522,0.134,0.134,0.907,0.219,1.475,0.8025,0.943394637260064,37.1258074026024
La2ScMnO6,O,O,5,44.95591,54.938049,138.9055,138.9055,1.2,1.6,1.08,1.08,1.475,1.475,0.806,0.895,0.953,1.172,1.172,0.72,0.885,0.75,0.58,1.03,1.03,6.5615,7.43402,5.5769,5.5769,1.36,1.55,1.1,1.1,1.22,0.99,1.375,1.375,3464,3464,2836,2061,12.1,12.1,10.2,21.7,6.15,6.15,2.99,7.3,44.6,44.6,314,235,918,918,1541,1246,0.195,0.195,0.567,0.479,0.134,0.134,0.158,0.0782,1.475,0.8505,0.921417960439641,40.8133569230871
La2ZnIrO6,O,O,5,65.409,192.217,138.9055,138.9055,1.66,1.55,1.08,1.08,1.475,1.475,0.81,0.9,0.958,1.172,1.172,0.765,0.88,0.74,0.63,1.03,1.03,9.3942,8.967,5.5769,5.5769,1.65,2.2,1.1,1.1,0.82,1.16,1.375,1.375,3464,3464,907,4428,12.1,12.1,30.2,6.4,6.15,6.15,7.14,22.5,44.6,44.6,108.1,213.9,918,918,419.53,2446,0.195,0.195,0.388,0.131,0.134,0.134,1.16,1.47,1.475,0.855,0.919410027838199,36.2001808710544
La2ZnMnO6,O,O,5,65.409,54.938049,138.9055,138.9055,1.66,1.6,1.08,1.08,1.475,1.475,0.693,0.9,0.958,1.172,1.172,0.67,0.88,0.74,0.53,1.03,1.03,9.3942,7.43402,5.5769,5.5769,1.65,1.55,1.1,1.1,0.82,0.99,1.375,1.375,3464,3464,907,2061,12.1,12.1,30.2,21.7,6.15,6.15,7.14,7.3,44.6,44.6,108.1,235,918,918,419.53,1246,0.195,0.195,0.388,0.479,0.134,0.134,1.16,0.0782,1.475,0.7965,0.946215652871109,37.166409115397
La2ZnPtO6,O,O,5,65.409,195.078,138.9055,138.9055,1.66,1.44,1.08,1.08,1.475,1.475,0.819,0.9,0.958,1.172,1.172,0.765,0.88,0.74,0.63,1.03,1.03,9.3942,8.9587,5.5769,5.5769,1.65,2.2,1.1,1.1,0.82,1.24,1.375,1.375,3464,3464,907,3825,12.1,12.1,30.2,8.8,6.15,6.15,7.14,21.5,44.6,44.6,108.1,113.6,918,918,419.53,1768.2,0.195,0.195,0.388,0.133,0.134,0.134,1.16,0.716,1.475,0.8595,0.917410827487741,36.1279323635152
La2ZnRhO6,O,O,5,65.409,102.9055,138.9055,138.9055,1.66,1.45,1.08,1.08,1.475,1.475,-300,0.9,0.958,1.172,1.172,0.74,0.88,0.74,0.6,1.03,1.03,9.3942,7.4589,5.5769,5.5769,1.65,2.28,1.1,1.1,0.82,1.11,1.375,1.375,3464,3464,907,3695,12.1,12.1,30.2,8.2,6.15,6.15,7.14,12.4,44.6,44.6,108.1,258.4,918,918,419.53,1963,0.195,0.195,0.388,0.243,0.134,0.134,1.16,1.5,1.475,-149.55,-300,-0.54982165413619
La2ZnTiO6,O,O,5,65.409,47.867,138.9055,138.9055,1.66,1.32,1.08,1.08,1.475,1.475,0.755,0.9,0.958,1.172,1.172,0.745,0.88,0.74,0.61,1.03,1.03,9.3942,6.8281,5.5769,5.5769,1.65,1.54,1.1,1.1,0.82,1.15,1.375,1.375,3464,3464,907,3287,12.1,12.1,30.2,8.6,6.15,6.15,7.14,4.51,44.6,44.6,108.1,295.6,918,918,419.53,1670,0.195,0.195,0.388,0.522,0.134,0.134,1.16,0.219,1.475,0.8275,0.931819242937855,36.6480559469736
LaCrO3,O,O,5,51.9961,51.9961,138.9055,138.9055,1.56,1.56,1.08,1.08,1.475,1.475,0.77,0.77,0.828,1.172,1.172,0.755,0.755,0.62,0.62,1.03,1.03,6.7665,6.7665,5.5769,5.5769,1.66,1.66,1.1,1.1,1.07,1.07,1.375,1.375,3464,3464,2671,2671,12.1,12.1,4.9,4.9,6.15,6.15,7.15,7.15,44.6,44.6,404,404,918,918,1907,1907,0.195,0.195,0.45,0.45,0.134,0.134,0.937,0.937,1.475,0.77,0.958879650245394,42.5078578515178
LaCuO3,O,O,5,63.546,63.546,138.9055,138.9055,1.75,1.75,1.08,1.08,1.475,1.475,0.799,0.799,0.857,1.172,1.172,0.68,0.68,-300,-300,1.03,1.03,7.72638,7.72638,5.5769,5.5769,1.9,1.9,1.1,1.1,0.88,0.88,1.375,1.375,3464,3464,2562,2562,12.1,12.1,16.5,16.5,6.15,6.15,8.96,8.96,44.6,44.6,203.5,203.5,918,918,1084.62,1084.62,0.195,0.195,0.384,0.384,0.134,0.134,4.01,4.01,1.475,0.799,0.945038181924281,41.9035644647781
LaFeO3,O,O,5,55.845,55.845,138.9055,138.9055,1.64,1.64,1.08,1.08,1.475,1.475,0.805,0.805,0.863,1.172,1.172,0.69,0.69,0.55,0.55,1.03,1.03,7.9024,7.9024,5.5769,5.5769,1.83,1.83,1.1,1.1,0.95,0.95,1.375,1.375,3464,3464,2861,2861,12.1,12.1,11.8,11.8,6.15,6.15,7.87,7.87,44.6,44.6,247.3,247.3,918,918,1538,1538,0.195,0.195,0.449,0.449,0.134,0.134,0.802,0.802,1.475,0.805,0.942224172449568,41.7806770669902
LaGaO3,O,O,5,69.723,69.723,138.9055,138.9055,1.82,1.82,1.08,1.08,1.475,1.475,0.776,0.776,0.834,1.172,1.172,0.76,0.76,0.62,0.62,1.03,1.03,5.9993,5.9993,5.5769,5.5769,1.81,1.81,1.1,1.1,0.76,0.76,1.375,1.375,3464,3464,2204,2204,12.1,12.1,18,18,6.15,6.15,5.91,5.91,44.6,44.6,80,80,918,918,29.767,29.767,0.195,0.195,0.374,0.374,0.134,0.134,0.406,0.406,1.475,0.776,0.955982732873051,42.3814059145426
LaHoO3,O,O,5,164.93032,164.93032,138.9055,138.9055,-300,-300,1.08,1.08,1.475,1.475,1.071,1.071,1.129,1.172,1.172,1.041,1.041,0.901,0.901,1.03,1.03,6.0215,6.0215,5.5769,5.5769,1.23,1.23,1.1,1.1,-300,-300,1.375,1.375,3464,3464,2700,2700,12.1,12.1,11.2,11.2,6.15,6.15,8.8,8.8,44.6,44.6,103,103,918,918,1474,1474,0.195,0.195,0.165,0.165,0.134,0.134,0.162,0.162,1.475,1.071,0.832346211085436,36.9736252649671
LaInO3,O,O,5,114.818,114.818,138.9055,138.9055,1.49,1.49,1.08,1.08,1.475,1.475,0.948,0.948,1.006,1.172,1.172,0.94,0.94,0.8,0.8,1.03,1.03,5.78636,5.78636,5.5769,5.5769,1.78,1.78,1.1,1.1,0.94,0.94,1.375,1.375,3464,3464,2072,2072,12.1,12.1,32.1,32.1,6.15,6.15,7.31,7.31,44.6,44.6,28.6,28.6,918,918,156.6,156.6,0.195,0.195,0.233,0.233,0.134,0.134,0.816,0.816,1.475,0.948,0.879787630901705,39.0512228984615
LaLuO3,O,O,5,174.967,174.967,138.9055,138.9055,-300,-300,1.08,1.08,1.475,1.475,1.017,1.017,1.075,1.172,1.172,1.001,1.001,0.86,0.86,1.03,1.03,5.4259,5.4259,5.5769,5.5769,1,1,1.1,1.1,-300,-300,1.375,1.375,3464,3464,3402,3402,12.1,12.1,9.9,9.9,6.15,6.15,9.84,9.84,44.6,44.6,126,126,918,918,1663,1663,0.195,0.195,0.154,0.154,0.134,0.134,0.164,0.164,1.475,1.017,0.852528831381177,37.8578682171513
LaLuS3,S,S,16,174.967,174.967,138.9055,138.9055,-300,-300,1.08,1.08,1.475,1.475,1.017,1.017,1.075,1.172,1.172,1.001,1.001,0.86,0.86,1.03,1.03,5.4259,5.4259,5.5769,5.5769,1,1,1.1,1.1,-300,-300,1.375,1.375,3464,3464,3402,3402,12.1,12.1,9.9,9.9,6.15,6.15,9.84,9.84,44.6,44.6,126,126,918,918,1663,1663,0.195,0.195,0.154,0.154,0.134,0.134,0.164,0.164,1.475,1.017,0.706023592825392,37.8578682171513
LaNiO3,O,O,5,58.6934,58.6934,138.9055,138.9055,1.75,1.75,1.08,1.08,1.475,1.475,0.786,0.786,0.844,1.172,1.172,0.7,0.7,0.56,0.56,1.03,1.03,7.6398,7.6398,5.5769,5.5769,1.91,1.91,1.1,1.1,0.96,0.96,1.375,1.375,3464,3464,2913,2913,12.1,12.1,13.4,13.4,6.15,6.15,8.9,8.9,44.6,44.6,290.3,290.3,918,918,1455,1455,0.195,0.195,0.445,0.445,0.134,0.134,0.907,0.907,1.475,0.786,0.951193240223387,42.1723162955156
LaPdO3,O,O,5,106.42,106.42,138.9055,138.9055,1.35,1.35,1.08,1.08,1.475,1.475,-300,-300,0,1.172,1.172,0.9,0.9,0.76,0.76,1.03,1.03,8.3369,8.3369,5.5769,5.5769,2.2,2.2,1.1,1.1,1.08,1.08,1.375,1.375,3464,3464,2963,2963,12.1,12.1,11.8,11.8,6.15,6.15,12,12,44.6,44.6,157.3,157.3,918,918,1554.8,1554.8,0.195,0.195,0.244,0.244,0.134,0.134,0.718,0.718,1.475,-300,-300,-0.616269736194897
LaRhO3,O,O,5,102.9055,102.9055,138.9055,138.9055,1.45,1.45,1.08,1.08,1.475,1.475,0.839,0.839,0.897,1.172,1.172,0.805,0.805,0.67,0.67,1.03,1.03,7.4589,7.4589,5.5769,5.5769,2.28,2.28,1.1,1.1,1.11,1.11,1.375,1.375,3464,3464,3695,3695,12.1,12.1,8.2,8.2,6.15,6.15,12.4,12.4,44.6,44.6,258.4,258.4,918,918,1963,1963,0.195,0.195,0.243,0.243,0.134,0.134,1.5,1.5,1.475,0.839,0.926589413121464,41.0977070479507
LaRuO3,O,O,5,101.07,101.07,138.9055,138.9055,1.42,1.42,1.08,1.08,1.475,1.475,0.816,0.816,0.874,1.172,1.172,0.82,0.82,0.68,0.68,1.03,1.03,7.3605,7.3605,5.5769,5.5769,2.2,2.2,1.1,1.1,1.145,1.145,1.375,1.375,3464,3464,4150,4150,12.1,12.1,6.4,6.4,6.15,6.15,12.1,12.1,44.6,44.6,381.8,381.8,918,918,2333,2333,0.195,0.195,0.238,0.238,0.134,0.134,1.17,1.17,1.475,0.816,0.937108443971313,41.5572454805319
LaScO3,O,O,5,44.95591,44.95591,138.9055,138.9055,1.2,1.2,1.08,1.08,1.475,1.475,0.895,0.895,0.953,1.172,1.172,0.885,0.885,0.75,0.75,1.03,1.03,6.5615,6.5615,5.5769,5.5769,1.36,1.36,1.1,1.1,1.22,1.22,1.375,1.375,3464,3464,2836,2836,12.1,12.1,10.2,10.2,6.15,6.15,2.99,2.99,44.6,44.6,314,314,918,918,1541,1541,0.195,0.195,0.567,0.567,0.134,0.134,0.158,0.158,1.475,0.895,0.901939053437473,40.0202135029315
LaScS3,S,S,5,44.95591,44.95591,138.9055,138.9055,1.2,1.2,1.08,1.08,1.475,1.475,0.895,0.895,0.953,1.172,1.172,0.885,0.885,0.75,0.75,1.03,1.03,6.5615,6.5615,5.5769,5.5769,1.36,1.36,1.1,1.1,1.22,1.22,1.375,1.375,3464,3464,2836,2836,12.1,12.1,10.2,10.2,6.15,6.15,2.99,2.99,44.6,44.6,314,314,918,918,1541,1541,0.195,0.195,0.567,0.567,0.134,0.134,0.158,0.158,1.475,0.895,0.705735617437736,40.0202135029315
LaTiO3,O,O,16,47.867,47.867,138.9055,138.9055,1.32,1.32,1.08,1.08,1.475,1.475,0.837,0.837,0.895,1.172,1.172,0.81,0.81,0.67,0.67,1.03,1.03,6.8281,6.8281,5.5769,5.5769,1.54,1.54,1.1,1.1,1.15,1.15,1.375,1.375,3464,3464,3287,3287,12.1,12.1,8.6,8.6,6.15,6.15,4.51,4.51,44.6,44.6,295.6,295.6,918,918,1670,1670,0.195,0.195,0.522,0.522,0.134,0.134,0.219,0.219,1.475,0.837,0.927494727643322,41.1372630725735
LaTmO3,O,O,5,168.93421,168.93421,138.9055,138.9055,-300,-300,1.08,1.08,1.475,1.475,1.046,1.046,1.104,1.172,1.172,1.02,1.02,0.88,0.88,1.03,1.03,6.18431,6.18431,5.5769,5.5769,1.25,1.25,1.1,1.1,-300,-300,1.375,1.375,3464,3464,1950,1950,12.1,12.1,13.3,13.3,6.15,6.15,9.32,9.32,44.6,44.6,99.7,99.7,918,918,1545,1545,0.195,0.195,0.16,0.16,0.134,0.134,0.169,0.169,1.475,1.046,0.841569905800479,37.377805903047
LaVO3,O,O,5,50.9415,50.9415,138.9055,138.9055,1.45,1.45,1.08,1.08,1.475,1.475,0.789,0.789,0.847,1.172,1.172,0.78,0.78,0.64,0.64,1.03,1.03,6.7462,6.7462,5.5769,5.5769,1.63,1.63,1.1,1.1,1.09,1.09,1.375,1.375,3464,3464,3407,3407,12.1,12.1,8.4,8.4,6.15,6.15,6,6,44.6,44.6,422,422,918,918,1910,1910,0.195,0.195,0.489,0.489,0.134,0.134,0.307,0.307,1.475,0.789,0.949765736611246,42.1099911191063
LaYbO3,O,O,5,173.04,173.04,138.9055,138.9055,-300,-300,1.08,1.08,1.475,1.475,1.011,1.011,1.069,1.172,1.172,1.008,1.008,-300,-300,1.03,1.03,6.25416,6.25416,5.5769,5.5769,-300,-300,1.1,1.1,-300,-300,1.375,1.375,3464,3464,1196,1196,12.1,12.1,26.3,26.3,6.15,6.15,6.9,6.9,44.6,44.6,44.3,44.3,918,918,819,819,0.195,0.195,0.154,0.154,0.134,0.134,0.385,0.385,1.475,1.011,0.854831925927906,37.9587351452972
LaYbS3,S,S,5,173.04,173.04,138.9055,138.9055,-300,-300,1.08,1.08,1.475,1.475,1.011,1.011,1.069,1.172,1.172,1.008,1.008,-300,-300,1.03,1.03,6.25416,6.25416,5.5769,5.5769,-300,-300,1.1,1.1,-300,-300,1.375,1.375,3464,3464,1196,1196,12.1,12.1,26.3,26.3,6.15,6.15,6.9,6.9,44.6,44.6,44.3,44.3,918,918,819,819,0.195,0.195,0.154,0.154,0.134,0.134,0.385,0.385,1.475,1.011,0.706009424606638,37.9587351452972
LaYO3,O,O,5,88.90585,88.90585,138.9055,138.9055,1.11,1.11,1.08,1.08,1.475,1.475,1.065,1.065,1.123,1.172,1.172,1.04,1.04,0.9,0.9,1.03,1.03,6.2171,6.2171,5.5769,5.5769,1.22,1.22,1.1,1.1,1.32,1.32,1.375,1.375,3464,3464,3345,3345,12.1,12.1,10.6,10.6,6.15,6.15,4.47,4.47,44.6,44.6,128,128,918,918,1522,1522,0.195,0.195,0.298,0.298,0.134,0.134,0.172,0.172,1.475,1.065,0.834541409883903,37.0698293534819
Li2MoTeO6,O,O,5,127.6,127.6,6.941,6.941,2.01,2.01,0.97,0.97,1.175,1.175,0.71,0.917,0.974,0.9,0.9,0.7,1.11,0.97,0.56,0.76,0.76,9.0096,9.0096,5.39172,5.39172,2.1,2.1,0.98,0.98,0.79,0.79,0.985,0.985,1342,1342,-300,-300,46,46,-300,-300,0.534,0.534,-300,-300,432,432,-300,-300,180.5,180.5,-300,-300,3.57,3.57,-300,-300,0.847,0.847,-300,-300,1.175,0.8135,0.833432010442261,110.608347538828
Li2SnTeO6,O,O,16,118.71,127.6,6.941,6.941,1.72,2.01,0.97,0.97,1.175,1.175,0.71,0.845,0.902,0.9,0.9,0.7,0.83,0.69,0.56,0.76,0.76,7.3439,9.0096,5.39172,5.39172,1.96,2.1,0.98,0.98,0.88,0.79,0.985,0.985,1342,1342,2602,-300,46,46,22,-300,0.534,0.534,7.26,-300,432,432,60.4,-300,180.5,180.5,231.93,-300,3.57,3.57,0.227,-300,0.847,0.847,0.666,-300,1.175,0.7775,0.848528137423857,112.709535832616
Li2WTeO6,O,O,16,183.84,127.6,6.941,6.941,1.4,2.01,0.97,0.97,1.175,1.175,0.71,-300,0,0.9,0.9,0.7,0.8,0.66,0.56,0.76,0.76,7.864,9.0096,5.39172,5.39172,1.7,2.1,0.98,0.98,1.22,0.79,0.985,0.985,1342,1342,5555,-300,46,46,4.5,-300,0.534,0.534,19.3,-300,432,432,284.5,-300,180.5,180.5,3414,-300,3.57,3.57,0.132,-300,0.847,0.847,1.74,-300,1.175,-149.645,-300,147.910027265708
Li2ZrTeO6,O,O,16,91.224,127.6,6.941,6.941,1.22,2.01,0.97,0.97,1.175,1.175,0.71,0.868,0.925,0.9,0.9,0.7,0.86,0.72,0.56,0.76,0.76,6.6339,9.0096,5.39172,5.39172,1.33,2.1,0.98,0.98,1.265,0.79,0.985,0.985,1342,1342,4409,-300,46,46,5.7,-300,0.534,0.534,6.52,-300,432,432,230.2,-300,180.5,180.5,1854,-300,3.57,3.57,0.278,-300,0.847,0.847,0.227,-300,1.175,0.789,0.843646659894905,112.029697620183
Li3AlF6,F,F,16,6.941,26.981538,6.941,6.941,0.97,1.47,0.97,0.97,1.175,1.175,0.666,0.919,0.976,0.9,0.9,0.675,0.9,0.76,0.54,0.76,0.76,5.39172,5.98577,5.39172,5.39172,0.98,1.61,0.98,0.98,0.985,0.77,0.985,0.985,1342,1342,1342,2519,46,46,46,23.1,0.534,0.534,0.534,2.7,432,432,432,399.9,180.5,180.5,180.5,660.32,3.57,3.57,3.57,0.904,0.847,0.847,0.847,2.37,1.175,0.7925,0.846703345730472,13.9578007229464
Li3CrF6,F,F,2,6.941,51.9961,6.941,6.941,0.97,1.56,0.97,0.97,1.175,1.175,0.77,0.919,0.976,0.9,0.9,0.755,0.9,0.76,0.62,0.76,0.76,5.39172,6.7665,5.39172,5.39172,0.98,1.66,0.98,0.98,0.985,1.07,0.985,0.985,1342,1342,1342,2671,46,46,46,4.9,0.534,0.534,0.534,7.15,432,432,432,404,180.5,180.5,180.5,1907,3.57,3.57,3.57,0.45,0.847,0.847,0.847,0.937,1.175,0.8445,0.824572873763654,13.6338564508422
Li3CrF6,F,F,16,6.941,51.9961,6.941,6.941,0.97,1.56,0.97,0.97,1.175,1.175,0.77,0.919,0.976,0.9,0.9,0.755,0.9,0.76,0.62,0.76,0.76,5.39172,6.7665,5.39172,5.39172,0.98,1.66,0.98,0.98,0.985,1.07,0.985,0.985,1342,1342,1342,2671,46,46,46,4.9,0.534,0.534,0.534,7.15,432,432,432,404,180.5,180.5,180.5,1907,3.57,3.57,3.57,0.45,0.847,0.847,0.847,0.937,1.175,0.8445,0.824572873763654,13.6338564508422
Li3GaF6,F,F,16,6.941,69.723,6.941,6.941,0.97,1.82,0.97,0.97,1.175,1.175,0.776,0.919,0.976,0.9,0.9,0.76,0.9,0.76,0.62,0.76,0.76,5.39172,5.9993,5.39172,5.39172,0.98,1.81,0.98,0.98,0.985,0.76,0.985,0.985,1342,1342,1342,2204,46,46,46,18,0.534,0.534,0.534,5.91,432,432,432,80,180.5,180.5,180.5,29.767,3.57,3.57,3.57,0.374,0.847,0.847,0.847,0.406,1.175,0.8475,0.823331358771789,13.6156255209479
Li3VF6,F,F,16,6.941,50.9415,6.941,6.941,0.97,1.45,0.97,0.97,1.175,1.175,0.789,0.919,0.976,0.9,0.9,0.78,0.9,0.76,0.64,0.76,0.76,5.39172,6.7462,5.39172,5.39172,0.98,1.63,0.98,0.98,0.985,1.09,0.985,0.985,1342,1342,1342,3407,46,46,46,8.4,0.534,0.534,0.534,6,432,432,432,422,180.5,180.5,180.5,1910,3.57,3.57,3.57,0.489,0.847,0.847,0.847,0.307,1.175,0.854,0.820654193273032,13.576291950147
LiAsO3,O,O,16,74.9216,74.9216,6.941,6.941,2.02,2.02,0.97,0.97,1.175,1.175,0.624,0.624,0.681,0.9,0.9,0.6,0.6,0.46,0.46,0.76,0.76,9.7886,9.7886,5.39172,5.39172,2.18,2.18,0.98,0.98,0.67,0.67,0.985,0.985,1342,1342,-300,-300,46,46,-300,-300,0.534,0.534,-300,-300,432,432,-300,-300,180.5,180.5,-300,-300,3.57,3.57,-300,-300,0.847,0.847,-300,-300,1.175,0.624,0.919547259067566,127.357665757282
LiBaF3,F,F,2,6.941,6.941,137.327,137.327,0.97,0.97,0.97,0.97,1.738,1.738,0.919,0.919,0.976,1.49,1.49,0.9,0.9,0.76,0.76,1.35,1.35,5.39172,5.39172,5.2117,5.2117,0.98,0.98,0.89,0.89,0.985,0.985,1.515,1.515,1897,1897,1342,1342,20.6,20.6,46,46,3.62,3.62,0.534,0.534,51.8,51.8,432,432,727,727,180.5,180.5,0.205,0.205,3.57,3.57,0.184,0.184,0.847,0.847,1.738,0.919,0.987688396395744,4.39836816199662
